Rank,Stock_Name,Symbol,Sector,Industry,Market_Cap_Cr
64,Belding India Ltd.,BELDING,Fast Moving Consumer Goods,Packaging,1380.27
65,SKM Egg Products Export (India) Ltd.,SKMEGGPROD,Fast Moving Consumer Goods,Consumer Food,1366.26
66,Arrow Greentech Ltd.,ARROWGREEN,Fast Moving Consumer Goods,Packaging,1226.65
67,HMA Agro Industries Ltd.,HMAAGRO,Fast Moving Consumer Goods,Consumer Food,1213.37
68,Bhartiya International Ltd.,BIL,Fast Moving Consumer Goods,Leather,1114.74
69,BCL Industries Ltd.,BCLIND,Fast Moving Consumer Goods,Edible Oil,1051.08
70,Krishival Foods Ltd.,KRISHIVAL,Fast Moving Consumer Goods,Consumer Food,1042.94
71,Shri Ahimsa Naturals Ltd.,SHRIAHIMSA,Fast Moving Consumer Goods,Consumer Food,936.86
72,Vadilal Enterprises Ltd.,VADILENT,Fast Moving Consumer Goods,Consumer Food,893.9
73,Oricon Enterprises Ltd.,ORICONENT,Fast Moving Consumer Goods,Packaging,830.31
74,Kokuyo Camlin Ltd.,KOKUYOCMLN,Fast Moving Consumer Goods,Printing & Stationery,821.49
75,Parin Enterprises Ltd.,PARIN,Fast Moving Consumer Goods,Household & Personal Products,809.39
76,Lotus Chocolate Company Ltd.,LOTUSCHO,Fast Moving Consumer Goods,Consumer Food,799.23
77,Mukka Proteins Ltd.,MUKKA,Fast Moving Consumer Goods,Animal Feed,793.5
78,Stanley Lifestyles Ltd.,STANLEY,Fast Moving Consumer Goods,Household & Personal Products,780.34
79,Apis India Ltd.,APIS,Fast Moving Consumer Goods,Consumer Food,763.15
80,Euro India Fresh Foods Ltd.,EIFFL,Fast Moving Consumer Goods,Consumer Food,694.01
81,Sheetal Cool Products Ltd.,SCPL,Fast Moving Consumer Goods,Consumer Food,687.86
82,KSE Ltd.,KSE,Fast Moving Consumer Goods,Animal Feed,665.44
83,Ganesh Consumer Products Ltd.,GANESHCP,Fast Moving Consumer Goods,Consumer Food,650.04
84,Proventus Agrocom Ltd.,PROV,Fast Moving Consumer Goods,Consumer Food,642.34
85,Pyramid Technoplast Ltd.,PYRAMID,Fast Moving Consumer Goods,Packaging,598.49
86,Linc Ltd.,LINC,Fast Moving Consumer Goods,Printing & Stationery,586.27
87,KN Agri Resources Ltd.,KNAGRI,Fast Moving Consumer Goods,Consumer Food,564.75
88,Aarti Surfactants Ltd.,AARTISURF,Fast Moving Consumer Goods,Household & Personal Products,558.83
89,Modi Naturals Ltd.,MODINATUR,Fast Moving Consumer Goods,Edible Oil,532.26
90,Nurture Well Industries Ltd.,NWIL,Fast Moving Consumer Goods,Consumer Food,529.71
91,Sukhjit Starch & Chemicals Ltd.,SUKHJITS,Fast Moving Consumer Goods,Consumer Food,499.9
92,Pajson Agro India Ltd.,PAJSON,Fast Moving Consumer Goods,Consumer Food,454.76
93,Sarveshwar Foods Ltd.,SARVESHWAR,Fast Moving Consumer Goods,Consumer Food,426.14
94,Foods & Inns Ltd.,FOODSIN,Fast Moving Consumer Goods,Consumer Food,418.62
95,Kriti Nutrients Ltd.,KRITINUT,Fast Moving Consumer Goods,Edible Oil,412.35
96,Shreeji Global FMCG Ltd.,SHETHJI,Fast Moving Consumer Goods,Consumer Food,388.06
97,Gokul Refoils and Solvent Ltd.,GOKUL,Fast Moving Consumer Goods,Edible Oil,383.8
98,Halder Venture Ltd.,HALDER,Fast Moving Consumer Goods,Consumer Food,377.5
99,UVS Hospitality and Services Ltd.,UVS,Fast Moving Consumer Goods,Consumer Food,377.25
100,Mishtann Foods Ltd.,MISHTANN,Fast Moving Consumer Goods,Consumer Food,368.54
101,Madhusudan Masala Ltd.,MADHUSUDAN,Fast Moving Consumer Goods,Consumer Food,361.99
102,Creative Graphics Solutions India Ltd.,CGRAPHICS,Fast Moving Consumer Goods,Packaging,357.0
103,Megastar Foods Ltd.,MEGASTAR,Fast Moving Consumer Goods,Consumer Food,351.23
104,Hoac Foods India Ltd.,HOACFOODS,Fast Moving Consumer Goods,Consumer Food,348.97
105,Annapurna Swadisht Ltd.,ANNAPURNA,Fast Moving Consumer Goods,Consumer Food,332.97
106,Sayaji Industries Ltd.,SAYAJIIND,Fast Moving Consumer Goods,Consumer Food,304.88
107,Sawaliya Food Products Ltd.,SAWALIYA,Fast Moving Consumer Goods,Consumer Food,282.37
108,GLEN Industries Ltd.,GLEN,Fast Moving Consumer Goods,Packaging,280.24
109,Coastal Corporation Ltd.,COASTCORP,Fast Moving Consumer Goods,Consumer Food,278.16
110,Chatha Foods Ltd.,CHATHA,Fast Moving Consumer Goods,Consumer Food,273.47
111,Integrated Proteins Ltd.,INTEGFD,Fast Moving Consumer Goods,Consumer Food,264.8
112,Aveer Foods Ltd.,AVEER,Fast Moving Consumer Goods,Consumer Food,261.41
113,RFBL Flexi Pack Ltd.,RFBL,Fast Moving Consumer Goods,Packaging,235.48
114,The Indian Wood Products Company Ltd.,IWP,Fast Moving Consumer Goods,Cigarettes/Tobacco,229.66
115,Vijay Solvex Ltd.,VIJSOLX,Fast Moving Consumer Goods,Edible Oil,228.39
116,Shivashrit Foods Ltd.,SHIVASHRIT,Fast Moving Consumer Goods,Consumer Food,228.36
117,NTC Industries Ltd.,NTCIND,Fast Moving Consumer Goods,Cigarettes/Tobacco,210.53
118,Milkfood Ltd.,MLKFOOD,Fast Moving Consumer Goods,Consumer Food,204.85
119,Ovobel Foods Ltd.,OVOBELE,Fast Moving Consumer Goods,Consumer Food,202.98
120,Mother Nutri Foods Ltd.,MNFL,Fast Moving Consumer Goods,Consumer Food,202.44
121,Transteel Seating Technologies Ltd.,TRANSTEEL,Fast Moving Consumer Goods,Household & Personal Products,201.59
122,Radix Industries (India) Ltd.,RADIXIND,Fast Moving Consumer Goods,Household & Personal Products,199.67
123,Srivari Spices & Foods Ltd.,SSFL,Fast Moving Consumer Goods,Consumer Food,198.49
124,Goyal Salt Ltd.,GOYALSALT,Fast Moving Consumer Goods,Consumer Food,191.53
125,Ajanta Soya Ltd.,AJANTSOY,Fast Moving Consumer Goods,Edible Oil,185.19
126,Bambino Agro Industries Ltd.,BAMBINO,Fast Moving Consumer Goods,Consumer Food,174.79
127,H.R. Hygiene Products Ltd.,HRHYGIENE,Fast Moving Consumer Goods,Household & Personal Products,161.51
128,Elfin Agro India Ltd.,ELFIN,Fast Moving Consumer Goods,Consumer Food,158.31
129,MK Proteins Ltd.,MKPL,Fast Moving Consumer Goods,Edible Oil,156.91
130,Kaira Can Company Ltd.,KAIRA,Fast Moving Consumer Goods,Packaging,151.23
131,Dhaval Packaging Ltd.,DHAVAL,Fast Moving Consumer Goods,Packaging,148.36
132,Crazy Snacks Ltd.,CRAZY,Fast Moving Consumer Goods,Consumer Food,143.99
133,GSM Foils Ltd.,GSMFOILS,Fast Moving Consumer Goods,Packaging,137.69
134,Tirupati Starch & Chemicals Ltd.,TIRUSTA,Fast Moving Consumer Goods,Consumer Food,136.26
135,Ambar Protein Industries Ltd.,AMBARPIL,Fast Moving Consumer Goods,Edible Oil,127.02
136,Jeyyam Global Foods Ltd.,JEYYAM,Fast Moving Consumer Goods,Consumer Food,113.75
137,Shyam Dhani Industries Ltd.,SHYAMDHANI,Fast Moving Consumer Goods,Consumer Food,112.27
138,Pee Cee Cosma Sope Ltd.,PCCOSMA,Fast Moving Consumer Goods,Household & Personal Products,112.06
139,S.V.J. Enterprises Ltd.,SVJ,Fast Moving Consumer Goods,Packaging,110.95
