Stock Name,Symbol,Sector,Industry,Market Cap(Rs. Cr.),Source_File
Adani Enterprises Ltd.,ADANIENT,Trading,Trading,411531.67,sectors\trading.csv
Premier Energies Ltd.,PREMIERENE,Trading,Trading,46126.01,sectors\trading.csv
Aegis Logistics Ltd.,AEGISLOG,Trading,Trading,44396.23,sectors\trading.csv
Aditya Infotech Ltd.,CPPLUS,Trading,Trading,41634.66,sectors\trading.csv
Redington Ltd.,REDINGTON,Trading,Trading,26076.09,sectors\trading.csv
Honasa Consumer Ltd.,HONASA,Trading,Trading,16390.87,sectors\trading.csv
RRP Semiconductor Ltd.,RRP,Trading,Trading,11758.19,sectors\trading.csv
Lloyds Enterprises Ltd.,LLOYDSENT,Trading,Trading,11685.76,sectors\trading.csv
MMTC Ltd.,MMTC,Trading,Trading,9648.0,sectors\trading.csv
SG Mart Ltd.,SGMART,Trading,Trading,9288.16,sectors\trading.csv
Cello World Ltd.,CELLO,Trading,Trading,8341.72,sectors\trading.csv
Jeena Sikho Lifecare Ltd.,JSLL,Trading,Trading,6512.74,sectors\trading.csv
GNG Electronics Ltd.,EBGNG,Trading,Trading,6440.51,sectors\trading.csv
Entero Healthcare Solutions Ltd.,ENTERO,Trading,Trading,6168.74,sectors\trading.csv
Rashi Peripherals Ltd.,RPTECH,Trading,Trading,5538.9,sectors\trading.csv
PDS Ltd.,PDSL,Trading,Trading,5253.13,sectors\trading.csv
Optiemus Infracom Ltd.,OPTIEMUS,Trading,Trading,5059.24,sectors\trading.csv
Symphony Ltd.,SYMPHONY,Trading,Trading,4268.61,sectors\trading.csv
Zota Health Care Ltd.,ZOTA,Trading,Trading,3917.98,sectors\trading.csv
