Stock Name,Symbol,Sector,Industry,Market Cap(Rs. Cr.),Source_File
Grindwell Norton Ltd.,GRINDWELL,Abrasives,Abrasives,23957.59,sectors\abrasives.csv
Carborundum Universal Ltd.,CARBORUNIV,Abrasives,Abrasives,21943.36,sectors\abrasives.csv
Wendt (India) Ltd.,WENDT,Abrasives,Abrasives,1588.16,sectors\abrasives.csv
Tata Consumer Products Ltd.,TATACONSUM,Agriculture,Tea/Coffee,106985.49,sectors\agriculture.csv
CCL Products (India) Ltd.,CCL,Agriculture,Tea/Coffee,15164.1,sectors\agriculture.csv
E.I.D. - Parry (India) Ltd.,EIDPARRY,Agriculture,Sugar,13794.24,sectors\agriculture.csv
Balrampur Chini Mills Ltd.,BALRAMCHIN,Agriculture,Sugar,13214.58,sectors\agriculture.csv
Gujarat Ambuja Exports Ltd.,GAEL,Agriculture,Solvent  Extraction,7928.12,sectors\agriculture.csv
Triveni Engineering & Industries Ltd.,TRIVENI,Agriculture,Sugar,5866.06,sectors\agriculture.csv
Shree Renuka Sugars Ltd.,RENUKA,Agriculture,Sugar,4672.04,sectors\agriculture.csv
Bannari Amman Sugars Ltd.,BANARISUG,Agriculture,Sugar,4326.2,sectors\agriculture.csv
Bajaj Hindusthan Sugar Ltd.,BAJAJHIND,Agriculture,Sugar,4147.81,sectors\agriculture.csv
Kaveri Seed Company Ltd.,KSCL,Agriculture,Agriculture,4007.62,sectors\agriculture.csv
Dalmia Bharat Sugar And Industries Ltd.,DALMIASUG,Agriculture,Sugar,3420.49,sectors\agriculture.csv
Apcotex Industries Ltd.,APCOTEXIND,Agriculture,Rubber  Products,3103.18,sectors\agriculture.csv
Pix Transmissions Ltd.,PIXTRANS,Agriculture,Rubber  Products,2585.18,sectors\agriculture.csv
BN Agrochem Ltd.,BNAGROCHEM,Agriculture,Solvent  Extraction,2398.37,sectors\agriculture.csv
Venky'S (India) Ltd.,VENKEYS,Agriculture,Agriculture,2151.63,sectors\agriculture.csv
Tinna Rubber And Infrastructure Ltd.,TINNARUBR,Agriculture,Rubber  Products,1961.47,sectors\agriculture.csv
Apex Frozen Foods Ltd.,APEX,Agriculture,Aquaculture,1330.31,sectors\agriculture.csv
Avadh Sugar & Energy Ltd.,AVADHSUGAR,Agriculture,Sugar,1302.8,sectors\agriculture.csv
Andrew Yule & Company Ltd.,ANDREWYU,Agriculture,Tea/Coffee,1276.16,sectors\agriculture.csv
Godavari Biorefineries Ltd.,GODAVARIB,Agriculture,Sugar,1264.56,sectors\agriculture.csv
AVT Natural Products Ltd.,AVTNPL,Agriculture,Agriculture,1239.74,sectors\agriculture.csv
Shri Venkatesh Refineries Ltd.,SVRL,Agriculture,Solvent  Extraction,1218.55,sectors\agriculture.csv
M.V.K. Agro Food Product Ltd.,MVKAGRO,Agriculture,Sugar,1156.29,sectors\agriculture.csv
GRP Ltd.,GRPLTD,Agriculture,Rubber  Products,1074.67,sectors\agriculture.csv
Dhampur Sugar Mills Ltd.,DHAMPURSUG,Agriculture,Sugar,1032.44,sectors\agriculture.csv
Uttam Sugar Mills Ltd.,UTTAMSUGAR,Agriculture,Sugar,1010.28,sectors\agriculture.csv
Bombay Super Hybrid Seeds Ltd.,BSHSL,Agriculture,Agriculture,918.73,sectors\agriculture.csv
Regaal Resources Ltd.,REGAAL,Agriculture,Agriculture,888.53,sectors\agriculture.csv
Freshara Agro Exports Ltd.,FRESHARA,Agriculture,Agriculture,834.57,sectors\agriculture.csv
Dwarikesh Sugar Industries Ltd.,DWARKESH,Agriculture,Sugar,795.5,sectors\agriculture.csv
Dhampur Bio Organics Ltd.,DBOL,Agriculture,Sugar,795.46,sectors\agriculture.csv
Magadh Sugar & Energy Ltd.,MAGADSUGAR,Agriculture,Sugar,767.64,sectors\agriculture.csv
Zuari Industries Ltd.,ZUARIIND,Agriculture,Sugar,765.67,sectors\agriculture.csv
Sharat Industries Ltd.,SHINDL,Agriculture,Aquaculture,638.61,sectors\agriculture.csv
DCM Shriram Industries Ltd.,DCMSRIND,Agriculture,Sugar,551.83,sectors\agriculture.csv
The Ugar Sugar Works Ltd.,UGARSUGAR,Agriculture,Sugar,540.67,sectors\agriculture.csv
Mcleod Russel India Ltd.,MCLEODRUSS,Agriculture,Tea/Coffee,485.3,sectors\agriculture.csv
Mangalam Global Enterprise Ltd.,MGEL,Agriculture,Agriculture,476.87,sectors\agriculture.csv
Goodricke Group Ltd.,GOODRICKE,Agriculture,Tea/Coffee,466.34,sectors\agriculture.csv
Kotyark Industries Ltd.,KOTYARK,Agriculture,Agriculture,458.39,sectors\agriculture.csv
Mawana Sugars Ltd.,MAWANASUG,Agriculture,Sugar,453.56,sectors\agriculture.csv
Davangere Sugar Company Ltd.,DAVANGERE,Agriculture,Sugar,430.43,sectors\agriculture.csv
Sheetal Universal Ltd.,SHEETAL,Agriculture,Agriculture,382.68,sectors\agriculture.csv
Harrisons Malayalam Ltd.,HARRMALAYA,Agriculture,Rubber  Products,366.89,sectors\agriculture.csv
Rubfila International Ltd.,RUBFILA,Agriculture,Rubber  Products,363.1,sectors\agriculture.csv
SBEC Sugar Ltd.,SBECSUG,Agriculture,Sugar,341.68,sectors\agriculture.csv
K.C.P. Sugar And Industries Corporation Ltd.,KCPSUGIND,Agriculture,Sugar,337.32,sectors\agriculture.csv
Ponni Sugars (Erode) Ltd.,PONNIERODE,Agriculture,Sugar,296.65,sectors\agriculture.csv
Nath Bio-Genes (India) Ltd.,NATHBIOGEN,Agriculture,Agriculture,296.27,sectors\agriculture.csv
Elgi Rubber Company Ltd.,ELGIRUBCO,Agriculture,Rubber  Products,291.94,sectors\agriculture.csv
Gayatri Rubbers and Chemicals Ltd.,GRCL,Agriculture,Rubber  Products,289.77,sectors\agriculture.csv
Jay Shree Tea & Industries Ltd.,JAYSREETEA,Agriculture,Tea/Coffee,265.36,sectors\agriculture.csv
Indag Rubber Ltd.,INDAG,Agriculture,Rubber  Products,262.21,sectors\agriculture.csv
K.M. Sugar Mills Ltd.,KMSUGAR,Agriculture,Sugar,253.92,sectors\agriculture.csv
SC Agrotech Ltd.,SCAGRO,Agriculture,Agriculture,242.88,sectors\agriculture.csv
Horizon Reclaim (India) Ltd.,HORIZON,Agriculture,Rubber  Products,241.41,sectors\agriculture.csv
Kings Infra Ventures Ltd.,KINGSINFR,Agriculture,Aquaculture,237.95,sectors\agriculture.csv
The United Nilgiri Tea Estates Company Ltd.,UNITEDTEA,Agriculture,Tea/Coffee,228.99,sectors\agriculture.csv
Ramdevbaba Solvent Ltd.,RBS,Agriculture,Solvent  Extraction,224.27,sectors\agriculture.csv
Kothari Sugars And Chemicals Ltd.,KOTARISUG,Agriculture,Sugar,217.83,sectors\agriculture.csv
The Peria Karamalai Tea And Produce Company Ltd.,PKTEA,Agriculture,Tea/Coffee,210.5,sectors\agriculture.csv
Ameenji Rubber Ltd.,AMEENJI,Agriculture,Rubber  Products,208.68,sectors\agriculture.csv
Rossell India Ltd.,ROSSELLIND,Agriculture,Tea/Coffee,208.57,sectors\agriculture.csv
Sakthi Sugars Ltd.,SAKHTISUG,Agriculture,Sugar,204.06,sectors\agriculture.csv
Rana Sugars Ltd.,RANASUG,Agriculture,Sugar,201.17,sectors\agriculture.csv
Waterbase Ltd.,WATERBASE,Agriculture,Aquaculture,194.62,sectors\agriculture.csv
Neelamalai Agro Industries Ltd.,NEAGI,Agriculture,Tea/Coffee,190.79,sectors\agriculture.csv
Indo US Bio-Tech Ltd.,INDOUS,Agriculture,Agriculture,163.54,sectors\agriculture.csv
Oswal Overseas Ltd.,OSWALOR,Agriculture,Sugar,154.74,sectors\agriculture.csv
Mangalam Seeds Ltd.,MSL,Agriculture,Agriculture,149.11,sectors\agriculture.csv
Zeal Aqua Ltd.,ZEAL,Agriculture,Aquaculture,142.08,sectors\agriculture.csv
Dhunseri Tea & Industries Ltd.,DTIL,Agriculture,Tea/Coffee,141.75,sectors\agriculture.csv
JK Agri Genetics Ltd.,JKAGRI,Agriculture,Agriculture,135.01,sectors\agriculture.csv
Sampann Utpadan India Ltd.,SAMPANN,Agriculture,Rubber  Products,134.67,sectors\agriculture.csv
Indian Sucrose Ltd.,INDSUCR,Agriculture,Sugar,132.71,sectors\agriculture.csv
Sheel Biotech Ltd.,SHEEL,Agriculture,Agriculture,130.26,sectors\agriculture.csv
Rukmani Devi Garg Agro Impex Ltd.,RDGAIL,Agriculture,Agriculture,129.15,sectors\agriculture.csv
Dollex Agrotech Ltd.,DOLLEX,Agriculture,Sugar,128.44,sectors\agriculture.csv
Bengal Tea & Fabrics Ltd.,BENGALT,Agriculture,Tea/Coffee,127.79,sectors\agriculture.csv
Mayank Cattle Food Ltd.,MCFL,Agriculture,Solvent  Extraction,124.74,sectors\agriculture.csv
Vistar Amar Ltd.,VISTARAMAR,Agriculture,Aquaculture,124.42,sectors\agriculture.csv
Yashhtej Industries (India) Ltd.,YASHHTEJ,Agriculture,Solvent  Extraction,124.08,sectors\agriculture.csv
Dhampure Speciality Sugars Ltd.,DHAMPURE,Agriculture,Sugar,120.49,sectors\agriculture.csv
B&A Ltd.,BNALTD,Agriculture,Tea/Coffee,117.8,sectors\agriculture.csv
Narmada Agrobase Ltd.,NARMADA,Agriculture,Agriculture,115.25,sectors\agriculture.csv
Vishwaraj Sugar Industries Ltd.,VISHWARAJ,Agriculture,Sugar,115.01,sectors\agriculture.csv
The Grob Tea Company Ltd.,GROBTEA,Agriculture,Tea/Coffee,111.36,sectors\agriculture.csv
Shree Oswal Seeds and Chemicals Ltd.,OSWALSEEDS,Agriculture,Agriculture,111.14,sectors\agriculture.csv
Rajshree Sugars & Chemicals Ltd.,RAJSREESUG,Agriculture,Sugar,107.86,sectors\agriculture.csv
Naturite Agro Products Ltd.,NAPL,Agriculture,Agriculture,104.33,sectors\agriculture.csv
Kanel Industries Ltd.,KANELIND,Agriculture,Agriculture,103.56,sectors\agriculture.csv
Somi Conveyor Beltings Ltd.,SOMICONVEY,Agriculture,Rubber  Products,102.2,sectors\agriculture.csv
Norben Tea & Exports Ltd.,NORBTEAEXP,Agriculture,Tea/Coffee,99.68,sectors\agriculture.csv
James Warren Tea Ltd.,JAMESWARREN,Agriculture,Tea/Coffee,95.42,sectors\agriculture.csv
Parvati Sweetners and Power Ltd.,PARVATI,Agriculture,Sugar,93.21,sectors\agriculture.csv
Upsurge Seeds Of Agriculture Ltd.,USASEEDS,Agriculture,Agriculture,91.98,sectors\agriculture.csv
Terai Tea Company Ltd.,TERAI,Agriculture,Tea/Coffee,85.72,sectors\agriculture.csv
Shri Vasuprada Plantations Ltd.,VASUPRADA ,Agriculture,Tea/Coffee,83.69,sectors\agriculture.csv
Piccadily Sugar & Allied Industries Ltd.,PICCASUG,Agriculture,Sugar,81.32,sectors\agriculture.csv
Lead Reclaim And Rubber Products Ltd.,LRRPL,Agriculture,Rubber  Products,81.29,sectors\agriculture.csv
IEL Ltd.,INDXTRA,Agriculture,Solvent  Extraction,76.93,sectors\agriculture.csv
Gujarat Peanut and Agri Products Ltd.,GPAPL,Agriculture,Agriculture,73.37,sectors\agriculture.csv
Simran Farms Ltd.,SIMRAN,Agriculture,Agriculture,72.41,sectors\agriculture.csv
Himalaya Food lnternational Ltd.,HFIL,Agriculture,Agriculture,71.99,sectors\agriculture.csv
Kesar Enterprises Ltd.,KESARENT,Agriculture,Sugar,66.73,sectors\agriculture.csv
Rajgor Castor Derivatives Ltd.,RCDL,Agriculture,Agriculture,66.25,sectors\agriculture.csv
Agri-Tech (India) Ltd.,AGRITECH,Agriculture,Agriculture,63.02,sectors\agriculture.csv
Gayatri Sugars Ltd.,GAYATRI,Agriculture,Sugar,60.48,sectors\agriculture.csv
Trescon Ltd.,TRESCON,Agriculture,Floriculture,57.88,sectors\agriculture.csv
Unisem Agritech Ltd.,UNISEM,Agriculture,Agriculture,56.66,sectors\agriculture.csv
Warren Tea Ltd.,WARRENTEA,Agriculture,Tea/Coffee,56.43,sectors\agriculture.csv
Unique Organics Ltd.,UNIQUEO,Agriculture,Solvent  Extraction,51.73,sectors\agriculture.csv
Defrail Technologies Ltd.,DEFRAIL,Agriculture,Rubber  Products,48.95,sectors\agriculture.csv
Times Green Energy (India) Ltd.,TIMESGREEN,Agriculture,Agriculture,44.87,sectors\agriculture.csv
Diana Tea Company Ltd.,DIANATEA,Agriculture,Tea/Coffee,43.43,sectors\agriculture.csv
Grameva Ltd.,GRAMEVA,Agriculture,Agriculture,42.23,sectors\agriculture.csv
Dhanlaxmi Crop Science Ltd.,DHANLAXMI,Agriculture,Agriculture,41.64,sectors\agriculture.csv
Pentagon Rubber Ltd.,PENTAGON,Agriculture,Rubber  Products,40.79,sectors\agriculture.csv
Raghuvansh Agrofarms Ltd.,RAFL,Agriculture,Agriculture,40.58,sectors\agriculture.csv
Alfavision Overseas (India) Ltd.,ALFAVIO,Agriculture,Agriculture,38.3,sectors\agriculture.csv
Vishwas Agri Seeds Ltd.,VISHWAS,Agriculture,Agriculture,38.15,sectors\agriculture.csv
MM Rubber Company Ltd.,MMRUBBR-B,Agriculture,Rubber  Products,36.43,sectors\agriculture.csv
Rex Sealing and Packing Industries Ltd.,REXSEAL,Agriculture,Rubber  Products,31.02,sectors\agriculture.csv
Tyroon Tea Company Ltd.,TYROON,Agriculture,Tea/Coffee,29.61,sectors\agriculture.csv
Simbhaoli Sugars Ltd.,SIMBHALS,Agriculture,Sugar,28.48,sectors\agriculture.csv
PAOS Industries Ltd,PAOS,Agriculture,Solvent  Extraction,27.77,sectors\agriculture.csv
Datiware Maritime Infra Ltd.,DATIWARE,Agriculture,Aquaculture,26.77,sectors\agriculture.csv
TGIF Agribusiness Ltd.,TGIF,Agriculture,Agriculture,26.39,sectors\agriculture.csv
Kanco Tea & Industries Ltd.,KANCOTEA,Agriculture,Tea/Coffee,25.12,sectors\agriculture.csv
Nirman Agri Genetics Ltd.,NIRMAN,Agriculture,Agriculture,24.51,sectors\agriculture.csv
Cochin Malabar Estates & Industries Ltd.,COCHMAL,Agriculture,Rubber  Products,23.6,sectors\agriculture.csv
Vrundavan Plantation Ltd.,VPL,Agriculture,Agriculture,21.04,sectors\agriculture.csv
Vandan Foods Ltd.,VANDAN,Agriculture,Solvent  Extraction,20.96,sectors\agriculture.csv
Shree Ganesh Bio-Tech (India) Ltd.,SHREEGANES,Agriculture,Agriculture,20.73,sectors\agriculture.csv
Vamshi Rubber Ltd.,VAMSHIRU,Agriculture,Rubber  Products,16.84,sectors\agriculture.csv
Hindustan Agrigenetics Ltd.,HINDUST,Agriculture,Agriculture,16.61,sectors\agriculture.csv
Indong Tea Company Ltd.,INDONG,Agriculture,Tea/Coffee,16.51,sectors\agriculture.csv
Eastern Treads Ltd.,EASTRED,Agriculture,Rubber  Products,15.92,sectors\agriculture.csv
Natura Hue Chem Ltd.,NATHUEC,Agriculture,Agriculture,14.72,sectors\agriculture.csv
BKV Industries Ltd.,BKV,Agriculture,Aquaculture,14.07,sectors\agriculture.csv
NCC Blue Water Products Ltd.,NCCBLUE,Agriculture,Aquaculture,13.75,sectors\agriculture.csv
Octavius Plantations Ltd.,OCTAVIUSPL,Agriculture,Tea/Coffee,13.23,sectors\agriculture.csv
Progrex Ventures Ltd.,PROGREXV,Agriculture,Solvent  Extraction,12.25,sectors\agriculture.csv
Pioneer Agro Extracts Ltd.,PIONAGR,Agriculture,Solvent  Extraction,11.7,sectors\agriculture.csv
Antarctica Ltd.,ANTGRAPHIC,Agriculture,Agriculture,11.32,sectors\agriculture.csv
Khandelwal Extractions Ltd.,ZKHANDEN,Agriculture,Solvent  Extraction,10.78,sectors\agriculture.csv
Kisaan Parivar Industries Ltd.,KISAAN,Agriculture,Solvent  Extraction,9.83,sectors\agriculture.csv
Shree Rajivlochan Oil Extraction Ltd.,SHRAJOI,Agriculture,Solvent  Extraction,9.41,sectors\agriculture.csv
Genomic Valley Biotech Ltd.,GVBL,Agriculture,Agriculture,9.29,sectors\agriculture.csv
Omega Ag-Seeds (Punjab) Ltd.,OMEAG,Agriculture,Agriculture,7.36,sectors\agriculture.csv
Tarai Foods Ltd.,TARAI,Agriculture,Agriculture,7.34,sectors\agriculture.csv
Shree Ram Proteins Ltd.,SRPL,Agriculture,Solvent  Extraction,7.28,sectors\agriculture.csv
Shanti Overseas (India) Ltd.,SHANTI,Agriculture,Solvent  Extraction,6.91,sectors\agriculture.csv
Shree Hanuman Sugar & Industries Ltd.,HANSUGAR,Agriculture,Sugar,6.9,sectors\agriculture.csv
Novyra Pharmachem Ltd.,BANSTEA,Agriculture,Tea/Coffee,6.75,sectors\agriculture.csv
Ashoka Refineries Ltd.,ASHOKRE,Agriculture,Solvent  Extraction,5.26,sectors\agriculture.csv
Retro Green Revolution Ltd.,RGRL,Agriculture,Tea/Coffee,5.02,sectors\agriculture.csv
Thakkers Group Ltd.,THAKKERS,Agriculture,Agriculture,4.46,sectors\agriculture.csv
Beeyu Overseas Ltd.,BEEYU,Agriculture,Agriculture,3.34,sectors\agriculture.csv
Signature Green Corporation Ltd.,SIGNGCL,Agriculture,Solvent  Extraction,1.8,sectors\agriculture.csv
Mangalam Global Enterprise Ltd. - (Rights Entitlements (REs)),MGEL-RE,Agriculture,Agriculture,0.0,sectors\agriculture.csv
Vistar Amar Ltd. - (Rights Entitlements (REs)),VISTA-RE,Agriculture,Aquaculture,0.0,sectors\agriculture.csv
IEL Ltd. - (Rights Entitlements (REs)),INDXTR-RE,Agriculture,Solvent  Extraction,0.0,sectors\agriculture.csv
Dollex Agrotech Ltd. - (Rights Entitlements),DOLLEX-RE,Agriculture,Sugar,0.0,sectors\agriculture.csv
Himalaya Food lnternational Ltd. - (Rights Entitlements (REs)),750992,Agriculture,Agriculture,0.0,sectors\agriculture.csv
Davangere Sugar Company Ltd. - (Rights Entitlements (REs)),DAVAN-RE1,Agriculture,Sugar,0.0,sectors\agriculture.csv
Times Green Energy (India) Ltd. Rights Entitlements (REs),751054,Agriculture,Agriculture,0.0,sectors\agriculture.csv
United Spirits Ltd.,UNITDSPR,Alcohol,Breweries & Distilleries,110557.33,sectors\alcohol.csv
Radico Khaitan Ltd.,RADICO,Alcohol,Breweries & Distilleries,62368.81,sectors\alcohol.csv
United Breweries Ltd.,UBL,Alcohol,Breweries & Distilleries,36384.79,sectors\alcohol.csv
Allied Blenders And Distillers Ltd.,ABDL,Alcohol,Breweries & Distilleries,16779.81,sectors\alcohol.csv
Tilaknagar Industries Ltd.,TI,Alcohol,Breweries & Distilleries,14070.13,sectors\alcohol.csv
India Glycols Ltd.,INDIAGLYCO,Alcohol,Breweries & Distilleries,7093.78,sectors\alcohol.csv
Piccadily Agro Industries Ltd.,PICCADIL,Alcohol,Breweries & Distilleries,6329.32,sectors\alcohol.csv
TruAlt Bioenergy Ltd.,TRUALT,Alcohol,Breweries & Distilleries,4128.13,sectors\alcohol.csv
Globus Spirits Ltd.,GLOBUSSPR,Alcohol,Breweries & Distilleries,2739.49,sectors\alcohol.csv
GM Breweries Ltd.,GMBREW,Alcohol,Breweries & Distilleries,2039.77,sectors\alcohol.csv
Som Distilleries And Breweries Ltd.,SDBL,Alcohol,Breweries & Distilleries,1546.99,sectors\alcohol.csv
Associated Alcohols & Breweries Ltd.,ASALCBR,Alcohol,Breweries & Distilleries,1436.57,sectors\alcohol.csv
Sula Vineyards Ltd.,SULA,Alcohol,Breweries & Distilleries,1266.29,sectors\alcohol.csv
Gulshan Polyols Ltd.,GULPOLY,Alcohol,Breweries & Distilleries,1175.06,sectors\alcohol.csv
IFB Agro Industries Ltd.,IFBAGRO,Alcohol,Breweries & Distilleries,960.88,sectors\alcohol.csv
Jagatjit Industries Ltd.,JAGAJITIND,Alcohol,Breweries & Distilleries,805.83,sectors\alcohol.csv
Cupid Breweries And Distilleries Ltd.,CUPIDALBV,Alcohol,Breweries & Distilleries,251.56,sectors\alcohol.csv
Shri Gang Industries & Allied Products Ltd.,SHRIGANG,Alcohol,Breweries & Distilleries,135.95,sectors\alcohol.csv
Kati Patang Lifestyle Ltd.,KATIPATANG,Alcohol,Breweries & Distilleries,85.48,sectors\alcohol.csv
Alcokraft Distilleries Ltd.,ALCODIS,Alcohol,Breweries & Distilleries,62.58,sectors\alcohol.csv
Tahmar Enterprises Ltd.,TAHMARENT,Alcohol,Breweries & Distilleries,62.32,sectors\alcohol.csv
Winsome Breweries Ltd.,WINSOMBR,Alcohol,Breweries & Distilleries,58.16,sectors\alcohol.csv
Ravi Kumar Distilleries Ltd.,RKDL,Alcohol,Breweries & Distilleries,43.97,sectors\alcohol.csv
Silver Oak (India) Ltd.,SILVOAK,Alcohol,Breweries & Distilleries,29.03,sectors\alcohol.csv
Maruti Suzuki India Ltd.,MARUTI,Automobile & Ancillaries,Automobiles - Passenger Cars,435919.17,sectors\automobileancillaries.csv
Mahindra & Mahindra Ltd.,M&M,Automobile & Ancillaries,Automobiles - Passenger Cars,427649.56,sectors\automobileancillaries.csv
Bajaj Auto Ltd.,BAJAJ-AUTO,Automobile & Ancillaries,Automobile Two & Three Wheelers,321520.49,sectors\automobileancillaries.csv
Eicher Motors Ltd.,EICHERMOT,Automobile & Ancillaries,Automobile Two & Three Wheelers,223046.14,sectors\automobileancillaries.csv
TVS Motor Company Ltd.,TVSMOTOR,Automobile & Ancillaries,Automobile Two & Three Wheelers,205513.18,sectors\automobileancillaries.csv
Hyundai Motor India Ltd.,HYUNDAI,Automobile & Ancillaries,Automobiles - Passenger Cars,178759.04,sectors\automobileancillaries.csv
Samvardhana Motherson International Ltd.,MOTHERSON,Automobile & Ancillaries,Auto Ancillary,177631.27,sectors\automobileancillaries.csv
Tata Motors Ltd.,TMCV,Automobile & Ancillaries,Automobiles-Trucks/Lcv,174504.75,sectors\automobileancillaries.csv
Cummins India Ltd.,CUMMINSIND,Automobile & Ancillaries,Diesel Engines,149800.27,sectors\automobileancillaries.csv
Bosch Ltd.,BOSCHLTD,Automobile & Ancillaries,Auto Ancillary,138811.6,sectors\automobileancillaries.csv
Tata Motors Passenger Vehicles Ltd.,TMPV,Automobile & Ancillaries,Automobiles - Passenger Cars,123082.24,sectors\automobileancillaries.csv
Hero MotoCorp Ltd.,HEROMOTOCO,Automobile & Ancillaries,Automobile Two & Three Wheelers,115981.83,sectors\automobileancillaries.csv
Ashok Leyland Ltd.,ASHOKLEY,Automobile & Ancillaries,Automobiles-Trucks/Lcv,100971.56,sectors\automobileancillaries.csv
Bharat Forge Ltd.,BHARATFORG,Automobile & Ancillaries,Forgings,99203.39,sectors\automobileancillaries.csv
UNO Minda Ltd.,UNOMINDA,Automobile & Ancillaries,Auto Ancillary,71605.93,sectors\automobileancillaries.csv
Schaeffler India Ltd.,SCHAEFFLER,Automobile & Ancillaries,Bearings,63211.55,sectors\automobileancillaries.csv
Ather Energy Ltd.,ATHERENERG,Automobile & Ancillaries,Automobile Two & Three Wheelers,59609.89,sectors\automobileancillaries.csv
MRF Ltd.,MRF,Automobile & Ancillaries,Tyres & Allied,56579.56,sectors\automobileancillaries.csv
Tube Investments of India Ltd.,TIINDIA,Automobile & Ancillaries,Auto Ancillary,53077.53,sectors\automobileancillaries.csv
Sona BLW Precision Forgings Ltd.,SONACOMS,Automobile & Ancillaries,Auto Ancillary,49412.14,sectors\automobileancillaries.csv
Balkrishna Industries Ltd.,BALKRISIND,Automobile & Ancillaries,Tyres & Allied,45739.81,sectors\automobileancillaries.csv
AIA Engineering Ltd.,AIAENG,Automobile & Ancillaries,Castings/Forgings,41912.04,sectors\automobileancillaries.csv
Endurance Technologies Ltd.,ENDURANCE,Automobile & Ancillaries,Auto Ancillary,40757.06,sectors\automobileancillaries.csv
Exide Industries Ltd.,EXIDEIND,Automobile & Ancillaries,Batteries,40426.0,sectors\automobileancillaries.csv
Escorts Kubota Ltd.,ESCORTS,Automobile & Ancillaries,Automobiles-Tractors,34806.85,sectors\automobileancillaries.csv
ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA,Automobile & Ancillaries,Auto Ancillary,29942.8,sectors\automobileancillaries.csv
PTC Industries Ltd.,PTCIL,Automobile & Ancillaries,Castings/Forgings,28559.91,sectors\automobileancillaries.csv
Apollo Tyres Ltd.,APOLLOTYRE,Automobile & Ancillaries,Tyres & Allied,28198.48,sectors\automobileancillaries.csv
Craftsman Automation Ltd.,CRAFTSMAN,Automobile & Ancillaries,Auto Ancillary,26803.46,sectors\automobileancillaries.csv
Motherson Sumi Wiring India Ltd.,MSUMI,Automobile & Ancillaries,Auto Ancillary,26758.76,sectors\automobileancillaries.csv
Gabriel India Ltd.,GABRIEL,Automobile & Ancillaries,Auto Ancillary,25897.74,sectors\automobileancillaries.csv
Sundram Fasteners Ltd.,SUNDRMFAST,Automobile & Ancillaries,Auto Ancillary,25578.93,sectors\automobileancillaries.csv
Belrise Industries Ltd.,BELRISE,Automobile & Ancillaries,Auto Ancillary,24701.06,sectors\automobileancillaries.csv
Timken India Ltd.,TIMKEN,Automobile & Ancillaries,Bearings,24616.46,sectors\automobileancillaries.csv
Sansera Engineering Ltd.,SANSERA,Automobile & Ancillaries,Auto Ancillary,24481.23,sectors\automobileancillaries.csv
Force Motors Ltd.,FORCEMOT,Automobile & Ancillaries,Automobiles-Trucks/Lcv,24205.39,sectors\automobileancillaries.csv
Tenneco Clean Air India Ltd.,TENNIND,Automobile & Ancillaries,Auto Ancillary,21748.22,sectors\automobileancillaries.csv
SPR Auto Technologies Ltd.,SHRIPISTON,Automobile & Ancillaries,Auto Ancillary,19783.0,sectors\automobileancillaries.csv
Happy Forgings Ltd.,HAPPYFORGE,Automobile & Ancillaries,Forgings,19724.21,sectors\automobileancillaries.csv
HBL Engineering Ltd.,HBLENGINE,Automobile & Ancillaries,Batteries,18811.84,sectors\automobileancillaries.csv
Castrol India Ltd.,CASTROLIND,Automobile & Ancillaries,Lubricants,18457.02,sectors\automobileancillaries.csv
OLA Electric Mobility Ltd.,OLAELEC,Automobile & Ancillaries,Automobile Two & Three Wheelers,17921.2,sectors\automobileancillaries.csv
Amara Raja Energy & Mobility Ltd.,ARE&M,Automobile & Ancillaries,Batteries,17320.61,sectors\automobileancillaries.csv
Minda Corporation Ltd.,MINDACORP,Automobile & Ancillaries,Auto Ancillary,17207.74,sectors\automobileancillaries.csv
CIE Automotive India Ltd.,CIEINDIA,Automobile & Ancillaries,Auto Ancillary,15470.4,sectors\automobileancillaries.csv
Ceat Ltd.,CEATLTD,Automobile & Ancillaries,Tyres & Allied,14919.01,sectors\automobileancillaries.csv
JBM Auto Ltd.,JBMA,Automobile & Ancillaries,Auto Ancillary,14738.32,sectors\automobileancillaries.csv
Lumax Auto Technologies Ltd.,LUMAXTECH,Automobile & Ancillaries,Auto Ancillary,13800.57,sectors\automobileancillaries.csv
Ramkrishna Forgings Ltd.,RKFORGE,Automobile & Ancillaries,Forgings,13341.22,sectors\automobileancillaries.csv
SKF India (Industrial) Ltd.,SKFINDUS,Automobile & Ancillaries,Bearings,13281.01,sectors\automobileancillaries.csv
Varroc Engineering Ltd.,VARROC,Automobile & Ancillaries,Auto Ancillary,12963.93,sectors\automobileancillaries.csv
ASK Automotive Ltd.,ASKAUTOLTD,Automobile & Ancillaries,Auto Ancillary,12711.75,sectors\automobileancillaries.csv
Titagarh Rail Systems Ltd.,TITAGARH,Automobile & Ancillaries,Railways Wagons/Coaches,11210.92,sectors\automobileancillaries.csv
JK Tyre & Industries Ltd.,JKTYRE,Automobile & Ancillaries,Tyres & Allied,11077.52,sectors\automobileancillaries.csv
Jupiter Wagons Ltd.,JWL,Automobile & Ancillaries,Railways Wagons/Coaches,10959.91,sectors\automobileancillaries.csv
Olectra Greentech Ltd.,OLECTRA,Automobile & Ancillaries,Automobiles-Trucks/Lcv,10817.83,sectors\automobileancillaries.csv
